Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
5091982589,20969LV,NY,OML,06/09/2013,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0749P,,QN,,,QUEENS BLVD (E/B) @,58TH ST,0,1111,D,T,,,,WH,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982530,90803,NY,MED,06/09/2013,7,SUBN,VOLVO,V,0,0,0,0,,0,0,0,,,0745P,,MN,,,AMSTERDAM AVE (N/B),@ 96TH STREET,0,1111,D,T,,,,GR,,2004,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982516,50297MB,NY,COM,06/09/2013,7,VAN,FORD,V,0,0,0,0,,0,0,0,,,0744P,,BK,,,ATLANTIC AVE (E/B) @,PENNSYLVANIA AVE,0,1111,D,T,,,,WH,,2011,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982498,81812,NY,MED,06/09/2013,7,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0744P,,BK,,,KINGS HWY (S/B) @ RE,MSEN AVE,0,1111,D,T,,,,GY,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982449,ELC3494,NY,PAS,06/09/2013,7,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0742P,,QN,,,BORDEN AVE (E/B) @ G,REENPOINT AVE,0,1111,D,T,,,,WH,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982401,AKZ9065,NY,PAS,06/09/2013,7,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0738P,,BK,,,MCDONALD AVE (N/B) @,VANDERBILT ST,0,1111,D,T,,,,BK,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982383,FWV1074,NY,PAS,06/09/2013,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0737P,,BK,,,EB 65TH ST @ 16TH AV,E,0,1111,D,T,,,,WH,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982346,DRH1737,NY,PAS,06/09/2013,7,4DSD,CHEVR,V,0,0,0,0,,0,0,0,,,0735P,,QN,,,QUEENS BLVD (E/B) @,39TH ST,0,1111,D,T,,,,WH,,2010,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982334,EJM6016,NY,PAS,06/09/2013,7,4DSD,TOYOT,V,0,18890,0,0,,0,0,0,,,0734P,,MN,,,MADISON AVE (N/B) @,E 96TH ST,0,1111,D,T,,,,GY,,2008,,0,,FAILURE TO STOP AT RED LIGHT,,,
5091982255,EWY1664,NY,PAS,06/09/2013,7,2DSD,NISSA,V,0,0,0,0,,0,0,0,,,0729P,,BK,,,ATLANTIC AVE (W/B) @,KINGSTON AVE,0,1111,D,T,,,,GY,,2009,,0,,FAILURE TO STOP AT RED LIGHT,,,
