Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
1283294138,GBB9093,NY,PAS,8/4/13,46,SUBN,AUDI,P,37250,13610,21190,20140831,33,33,33,921043,33,0,0752A,,,F,712,W 175 ST,,0,408,F1,,BBBBBBB,ALL,ALL,GY,0,2013,-,0,,,,,,,,,,,,,
1283294151,62416MB,NY,COM,8/4/13,46,VAN,FORD,P,37290,40404,40404,20140430,33,33,33,921043,33,0,1240P,,NY,O,201,W 177 ST,,0,408,C,,BBBBBBB,ALL,ALL,WH,0,2012,-,0,,,,,,,,,,,,,
1283294163,78755JZ,NY,COM,8/5/13,46,P-U,CHEVR,P,37030,31190,13610,20140228,33,33,33,921043,33,0,1243P,,NY,O,520,W 163 ST,,0,408,F7,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,,,,,,,,,
1283294175,63009MA,NY,COM,8/5/13,46,VAN,FORD,P,37270,11710,12010,20141031,33,33,33,921043,33,0,0232P,,NY,O,517,W 176 ST,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0,2010,-,0,,,,,,,,,,,,,
1283294187,91648MC,NY,COM,8/8/13,41,TRLR,GMC,P,37240,12010,31190,0,33,33,33,921043,33,0,1239P,,NY,F,590,W 174 ST,,0,408,E1,,BBBBBBB,ALL,ALL,BR,0,2012,-,0,,,,,,,,,,,,,
1283294217,T60DAR,NJ,PAS,8/11/13,14,P-U,DODGE,P,37250,10495,12010,0,33,33,33,921043,33,0,0617P,,NY,F,525,W 175 ST,,0,408,F1,,BBBBBBB,ALL,ALL,RD,0,0,-,0,,,,,,,,,,,,,
1283294229,GCR2838,NY,PAS,8/11/13,14,VAN,,P,37250,12010,31190,20141223,33,33,33,921043,33,0,0741P,,NY,F,551,W 175 ST,,0,408,C,,BBBBBBB,ALL,ALL,GN,0,2011,-,0,,,,,,,,,,,,,
1283983620,XZ764G,NJ,PAS,8/7/13,24,DELV,FORD,X,63430,0,0,0,88,88,976,101079,976,0,0425A,,K,F,100,N.PORTLAND AVE,BROOKLYN NY 11206,0,408,E5,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,,,,,,,,,
1283983631,GBH9379,NY,PAS,8/7/13,24,SDN,TOYOT,X,63430,0,0,20140722,88,88,976,101079,976,0,0437A,,K,F,100,N.PORTLAND AVE,BROOKLYN NY 11206,0,408,D5,,BBBBBBB,ALL,ALL,WHITE,0,2001,-,0,,,,,,,,,,,,,
1283983667,MCL78B,NJ,PAS,7/18/13,24,SDN,SUBAR,H,0,0,0,0,79,79,976,101043,976,0,0839A,,K,F,,"760 BROADWAY ,BROOKL",WOODHULL HOSPITAL,0,408,D,,BBBBBBB,ALL,ALL,BLACK,0,2005,-,0,,,,,,,,,,,,,
1283983679,M367CN,NY,PAS,7/18/13,24,SDN,HYUND,H,0,0,0,20140510,79,79,976,101043,976,0,0845A,,K,F,,760 BROADWAY BROOKLY,WOODHULL HOSPITAL,0,408,D5,,BBBBBBB,ALL,ALL,BLUE,0,2010,-,0,,,,,,,,,,,,,
1283983734,GAR6813,NY,PAS,7/18/13,24,SDN,TOYOT,H,0,0,0,20141008,79,79,976,101043,976,0,0907A,,K,F,,760 BROADWAY BROOKLY,WOODHULL HOSPITAL,0,408,D5,,BBBBBBB,ALL,ALL,TAN,0,1998,-,0,,,,,,,,,,,,,
1283983771,GEN8674,NY,PAS,7/31/13,24,SDN,AUDI,X,0,0,0,20150331,79,79,976,101080,976,0,0514P,,K,F,,760 BDWAY BKLYN,NY 11206,0,408,D5,,BBBBBBB,ALL,ALL,GOLD,0,0,-,0,,,,,,,,,,,,,
1283983825,GAC2703,NY,PAS,8/12/13,24,SDN,NISSA,X,23230,41330,83330,20140713,79,79,976,101080,976,0,0656P,,K,F,760,BWY,,0,408,D5,,BBBBBBB,ALL,ALL,WHITE,0,2012,-,0,,,,,,,,,,,,,
1286036800,40793JY,NY,COM,7/5/13,14,VAN,CHEVR,P,34190,10410,10510,0,13,13,13,944320,13,0,1145P,,,F,59,W 21 STREET,,0,408,C,,YYYYYYY,1100P,0600A,GREEN,0,1995,-,0,,,,,,,,,,,,,
1286123550,GAD1485,NY,PAS,8/12/13,20,SDN,VOLKS,T,28930,27530,29830,20140729,76,76,730,337777,T730,0,0546P,,K,O,221,CONGRESS ST,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,2012,-,0,,,,,,,,,,,,,
